system,file,seed,iteration,E_total,dE_per_atom,max_force,dZ,n_atoms,n_template,template_indices
fecobmgo,fecobmgo/fecobmgo_005.xyz,seed_1,48,-424.493240,0.094176,1.1716,0.9783,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_006.xyz,seed_0,54,-423.717027,0.104257,1.1364,0.7731,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_007.xyz,seed_2,65,-422.852926,0.115479,1.3412,0.7320,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_008.xyz,seed_0,37,-422.833746,0.115728,1.1081,0.7976,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_009.xyz,seed_1,41,-422.826779,0.115818,1.2944,0.8475,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_010.xyz,seed_1,30,-422.431026,0.120958,1.3382,0.3926,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_011.xyz,seed_0,46,-422.213207,0.123787,1.3057,0.7585,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_012.xyz,seed_0,49,-421.786960,0.129322,1.2739,1.9778,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_013.xyz,seed_0,32,-421.776109,0.129463,1.1802,2.2396,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_014.xyz,seed_0,22,-421.570439,0.132134,1.2556,0.1088,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_015.xyz,seed_1,45,-421.454933,0.133634,1.2247,1.4161,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
fecobmgo,fecobmgo/fecobmgo_016.xyz,seed_0,23,-419.922103,0.153541,1.1616,0.1321,77,50,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
