system,seed,iteration,E_total,n_atoms,dE_per_atom,dZ,B_contact_frac
fecomgo,seed_0,10,-404.2790082562374,75,0.2587238592023338,0.1487255851968179,nan
fecomgo,seed_0,11,-403.279770846539,75,0.2720470246649787,0.4385996950817592,nan
fecomgo,seed_0,20,-398.4659262131087,75,0.33623161977738314,0.8785947547453823,nan
fecomgo,seed_0,22,-404.81009716230443,75,0.2516426737881064,0.09102324152407881,nan
fecomgo,seed_0,23,-401.6833229701805,75,0.293332996349759,0.38302949394295993,nan
fecomgo,seed_0,25,-388.57353286473455,75,0.46813019775570486,2.7339279441588555,nan
fecomgo,seed_0,26,-398.4752861767703,75,0.33610682026189503,0.9549879717862062,nan
fecomgo,seed_0,27,-405.84792962072595,75,0.23780490767581947,0.9862158014844535,nan
fecomgo,seed_0,28,-404.18064494988533,75,0.26003536995369436,1.6370205412242278,nan
fecomgo,seed_0,29,-403.98258440272525,75,0.2626761772491621,1.1288744940712814,nan
fecomgo,seed_0,30,-406.5936946941235,75,0.22786137336385234,0.9188482730642136,nan
fecomgo,seed_0,31,-404.7400750477121,75,0.25257630198267106,2.36903221494323,nan
fecomgo,seed_0,32,-407.2457176851503,75,0.21916773348349503,0.049202621897688203,nan
fecomgo,seed_0,33,-404.88717962451454,75,0.25061490762530486,2.34860552690626,nan
fecomgo,seed_0,34,-407.11155060079096,75,0.2209566279416193,1.4275199429209184,nan
fecomgo,seed_0,35,-407.3216235906566,75,0.2181556547434108,1.430355331348153,nan
fecomgo,seed_0,36,-400.81241221886484,75,0.3049451397006343,1.0701814913519634,nan
fecomgo,seed_0,37,-406.8869256130719,75,0.22395162777787314,0.6654621705340737,nan
fecomgo,seed_0,38,-406.5415521123881,75,0.22855660778699075,1.926284122210344,nan
fecomgo,seed_0,39,-408.0185120935431,75,0.20886380803825735,1.1251374626009891,nan
fecomgo,seed_0,40,-407.30813679738554,75,0.21833547865369154,2.235073721688586,nan
fecomgo,seed_0,41,-407.55944472472305,75,0.21498470628919145,0.8964474469464729,nan
fecomgo,seed_0,42,-407.08835694102254,75,0.22126587673853162,1.032330530766357,nan
fecomgo,seed_0,43,-399.29168897923404,75,0.3252214495623783,2.115248746311268,nan
fecomgo,seed_0,44,-408.6317378644672,75,0.20068746442593616,1.4132869385498434,nan
fecomgo,seed_0,45,-406.82916140063804,75,0.22472181727699156,0.8134458777379425,nan
fecomgo,seed_0,46,-408.6493788943858,75,0.20045225069368824,2.0676049872788376,nan
fecomgo,seed_0,47,-406.3407765680978,75,0.23123361504419487,0.9812816528051904,nan
fecomgo,seed_0,48,-406.29825617198225,75,0.23180055365906885,2.188906789399047,nan
fecomgo,seed_0,49,-403.6696425111451,75,0.2668487358035638,2.0340868658831788,nan
fecomgo,seed_0,50,-410.82148323970887,75,0.1714908594227139,2.109957205223381,nan
fecomgo,seed_0,51,-410.1437594605533,75,0.1805271764781211,1.1112105813488107,nan
fecomgo,seed_0,52,-413.57015410258856,75,0.134841914584318,2.550204317890252,nan
fecomgo,seed_0,53,-408.22115262139727,75,0.20616193433353525,2.090216354668703,nan
fecomgo,seed_0,54,-414.42630895477635,75,0.12342651655514753,3.3871030441167775,nan
fecomgo,seed_0,55,-413.3949189433902,75,0.13717838337362914,2.613435773176425,nan
fecomgo,seed_0,56,-413.3867102657226,75,0.13728783240919712,2.718126834797417,nan
fecomgo,seed_0,57,-413.42691018572305,75,0.1367518334758582,2.271297401983924,nan
fecomgo,seed_0,58,-412.0177664785807,75,0.155540416237756,3.792359848280187,nan
fecomgo,seed_0,59,-414.3405445987925,75,0.12457004130159854,2.6850118815326542,nan
fecomgo,seed_0,60,-407.39606088956856,75,0.21716315742458467,0.9212328912571994,nan
fecomgo,seed_0,61,-411.1186867991091,75,0.1675281452973771,2.60949520602526,nan
fecomgo,seed_0,62,-412.40126974387744,75,0.150427039367133,3.0919723690939396,nan
